posicao;nome;escudo;pontos;jogos;vitorias;empates;derrotas;gp;gc;sg;ca;cv;aproveitamento;ultimos_jogos;proximo_jogo
1º;Bragantino - SP;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00006sp.jpg"" width=""60"" >";42;22;12;6;4;33;13;20;49;4;63;V-D-E;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00011pr.jpg"" width=""60"" >"
2º;Atlético - GO;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00004go.jpg"" width=""60"" >";38;22;10;8;4;26;17;9;53;3;57;V-V-E;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00007sc.jpg"" width=""60"" >"
3º;Sport - PE;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00012pe.jpg"" width=""60"" >";38;22;9;11;2;30;19;11;42;4;57;E-V-V;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00001mg.jpg"" width=""60"" >"
4º;Botafogo - SP;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/56654sp.jpg"" width=""60"" >";35;23;10;5;8;23;22;1;53;2;50;E-V-V;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00209pr.jpg"" width=""60"" >"
5º;Operario - PR;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00209pr.jpg"" width=""60"" >";35;23;10;5;8;21;25;-4;54;3;50;V-D-V;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/56654sp.jpg"" width=""60"" >"
6º;Coritiba - PR;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00006pr.jpg"" width=""60"" >";34;22;9;7;6;29;21;8;62;1;51;D-D-D;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00002al.jpg"" width=""60"" >"
7º;Crb - AL;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00002al.jpg"" width=""60"" >";33;22;10;3;9;26;24;2;49;5;50;V-D-V;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00006pr.jpg"" width=""60"" >"
8º;Paraná - PR;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00023pr.jpg"" width=""60"" >";33;22;8;9;5;18;19;-1;58;0;50;E-V-E;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00015sp.jpg"" width=""60"" >"
9º;Cuiabá - MT;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00062mt.jpg"" width=""60"" >";32;22;8;8;6;24;20;4;51;5;48;E-D-E;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00084sp.jpg"" width=""60"" >"
10º;Ponte Preta - SP;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00023sp.jpg"" width=""60"" >";31;23;8;7;8;23;21;2;68;4;44;E-D-D;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00023pr.jpg"" width=""60"" >"
11º;Brasil - RS;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00033rs.jpg"" width=""60"" >";29;23;8;5;10;19;25;-6;60;2;42;V-D-E;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00001mg.jpg"" width=""60"" >"
12º;America Fc - MG;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00001mg.jpg"" width=""60"" >";29;22;7;8;7;21;23;-2;48;1;43;E-E-V;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00012pe.jpg"" width=""60"" >"
13º;Londrina - PR;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00011pr.jpg"" width=""60"" >";28;22;8;4;10;26;28;-2;49;6;42;D-D-V;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00006sp.jpg"" width=""60"" >"
14º;Oeste - SP;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00084sp.jpg"" width=""60"" >";26;22;5;11;6;23;22;1;73;3;39;E-V-V;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00062mt.jpg"" width=""60"" >"
15º;Vitória - BA;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00006ba.jpg"" width=""60"" >";24;23;6;6;11;20;30;-10;57;2;34;V-D-D;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00004go.jpg"" width=""60"" >"
16º;Vila Nova - GO;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00014go.jpg"" width=""60"" >";24;23;5;9;9;14;21;-7;57;2;34;D-V-D;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00002al.jpg"" width=""60"" >"
17º;São Bento - SP;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00011sp.jpg"" width=""60"" >";23;23;6;5;12;25;31;-6;60;5;33;E-D-V;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00084sp.jpg"" width=""60"" >"
18º;Criciúma - SC;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00007sc.jpg"" width=""60"" >";23;22;5;8;9;15;22;-7;63;4;34;E-E-D;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00004go.jpg"" width=""60"" >"
19º;Figueirense - SC;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00859sc.jpg"" width=""60"" >";23;23;4;11;8;18;23;-5;49;2;33;E-D-E;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00006sp.jpg"" width=""60"" >"
20º;Guarani - SP;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00015sp.jpg"" width=""60"" >";22;22;6;4;12;16;24;-8;60;4;33;V-D-V;"<img src=""https://conteudo.cbf.com.br/cdn/imagens/escudos/00023pr.jpg"" width=""60"" >"
