theme,url,img,lines,author
LITERACY,/inspirational-quotes/7983-few-things-leave-a-deeper-mark-on-the-reader,https://quotes.values.com/quote_artwork/7983/medium/20190913_friday_quote.jpg?1567805769,LITERACY,LITERACY
LITERACY,/inspirational-quotes/7982-life-seek-the-company-of-a-friendly-book-from,https://quotes.values.com/quote_artwork/7982/medium/20190912_thursday_quote.jpg?1567805308,LITERACY,LITERACY
LITERACY,/inspirational-quotes/7981-she-read-books-as-one-would-breathe-air-to,https://quotes.values.com/quote_artwork/7981/medium/20190911_wednesday_quote.jpg?1567805235,LITERACY,LITERACY
LITERACY,/inspirational-quotes/7533-the-more-that-you-read-the-more-things-you,https://quotes.values.com/quote_artwork/7533/medium/20190910_tuesday_quote.jpg?1567805212,LITERACY,LITERACY
LITERACY,/inspirational-quotes/7980-in-the-case-of-good-books-the-point-is-not-to,https://quotes.values.com/quote_artwork/7980/medium/20190909_monday_quote.jpg?1567805176,LITERACY,LITERACY
MINDFULNESS,/inspirational-quotes/7979-between-stimulus-and-response-there-is-a-space,https://quotes.values.com/quote_artwork/7979/medium/20190906_friday_quote.jpg?1567121868,MINDFULNESS,MINDFULNESS
MINDFULNESS,/inspirational-quotes/7978-how-you-look-at-it-is-pretty-much-how-you-ll,https://quotes.values.com/quote_artwork/7978/medium/20190905_thursday_quote.jpg?1567121845,MINDFULNESS,MINDFULNESS
MINDFULNESS,/inspirational-quotes/7977-what-day-is-it-asked-pooh-it-s-today,https://quotes.values.com/quote_artwork/7977/medium/20190904_wednesday_quote.jpg?1567121822,MINDFULNESS,MINDFULNESS
MINDFULNESS,/inspirational-quotes/7976-whatever-the-present-moment-contains-accept-it,https://quotes.values.com/quote_artwork/7976/medium/20190903_tuesday_quote.jpg?1567121779,MINDFULNESS,MINDFULNESS
MINDFULNESS,/inspirational-quotes/7975-mindfulness-is-simply-being-aware-of-what-is,https://quotes.values.com/quote_artwork/7975/medium/20190902_monday_quote.jpg?1567121753,MINDFULNESS,MINDFULNESS
HOPE,/inspirational-quotes/7564-they-say-a-person-needs-just-three-things-to-be,https://quotes.values.com/quote_artwork/7564/medium/20190830_friday_quote.jpg?1566582836,HOPE,HOPE
HOPE,/inspirational-quotes/7974-chance-is-always-powerful-let-your-hook-be,https://quotes.values.com/quote_artwork/7974/medium/20190829_thursday_quote.jpg?1566582807,HOPE,HOPE
HOPE,/inspirational-quotes/7973-the-best-way-to-not-feel-hopeless-is-to-get-up,https://quotes.values.com/quote_artwork/7973/medium/20190828_wednesday_quote.jpg?1566582774,HOPE,HOPE
HOPE,/inspirational-quotes/5224-we-must-accept-finite-disappointment-but-we,https://quotes.values.com/quote_artwork/5224/medium/20190827_tuesday_quote.jpg?1566582744,HOPE,HOPE
HOPE,/inspirational-quotes/7561-hope-can-be-a-powerful-force-maybe-theres-no,https://quotes.values.com/quote_artwork/7561/medium/20190826_monday_quote.jpg?1566582711,HOPE,HOPE
MAKING A DIFFERENCE,/inspirational-quotes/6469-most-people-are-like-you-and-me-or-the-people,https://quotes.values.com/quote_artwork/6469/medium/20190823_friday_quote.jpg?1565804805,MAKING A DIFFERENCE,MAKING A DIFFERENCE
MAKING A DIFFERENCE,/inspirational-quotes/7972-aim-to-make-a-difference-in-someone-s-life,https://quotes.values.com/quote_artwork/7972/medium/20190822_thursday_quote.jpg?1565803891,MAKING A DIFFERENCE,MAKING A DIFFERENCE
MAKING A DIFFERENCE,/inspirational-quotes/6231-it-takes-each-of-us-to-make-a-difference-for,https://quotes.values.com/quote_artwork/6231/medium/20190821_wednesday_quote.jpg?1565803837,MAKING A DIFFERENCE,MAKING A DIFFERENCE
MAKING A DIFFERENCE,/inspirational-quotes/7971-never-underestimate-the-valuable-and-important,https://quotes.values.com/quote_artwork/7971/medium/20190820_tuesday_quote_alternate2.jpg?1565818529,MAKING A DIFFERENCE,MAKING A DIFFERENCE
MAKING A DIFFERENCE,/inspirational-quotes/7970-what-you-do-makes-a-difference-and-you-have-to,https://quotes.values.com/quote_artwork/7970/medium/20190819_monday_quote.jpg?1565803764,MAKING A DIFFERENCE,MAKING A DIFFERENCE
INCLUSION,/inspirational-quotes/7969-i-believe-in-the-spirit-of-equality-and-the,https://quotes.values.com/quote_artwork/7969/medium/20190816_friday_quote.jpg?1565389117,INCLUSION,INCLUSION
INCLUSION,/inspirational-quotes/7966-we-all-came-in-on-different-ships-but-were-all,https://quotes.values.com/quote_artwork/7966/medium/20190815_thursday_quote.jpg?1565373426,INCLUSION,INCLUSION
INCLUSION,/inspirational-quotes/7965-the-diversity-in-the-human-family-should-be-the,https://quotes.values.com/quote_artwork/7965/medium/20190814_wednesday_quote.jpg?1565373401,INCLUSION,INCLUSION
INCLUSION,/inspirational-quotes/7968-nurturing-an-inclusive-culture-begins-in-the,https://quotes.values.com/quote_artwork/7968/medium/20190813_tuesday_quote.jpg?1565389077,INCLUSION,INCLUSION
INCLUSION,/inspirational-quotes/4372-we-could-learn-a-lot-from-crayons-some-are,https://quotes.values.com/quote_artwork/4372/medium/20190812_monday_quote.jpg?1565373355,INCLUSION,INCLUSION
BELIEVE IN YOURSELF,/inspirational-quotes/6110-our-deepest-fear-is-not-that-we-are-inadequate,https://quotes.values.com/quote_artwork/6110/medium/20190809_friday_quote.jpg?1564705639,BELIEVE IN YOURSELF,BELIEVE IN YOURSELF
BELIEVE IN YOURSELF,/inspirational-quotes/7963-your-self-worth-is-determined-by-you-you-don-t,https://quotes.values.com/quote_artwork/7963/medium/20190808_thursday_quote.jpg?1564705615,BELIEVE IN YOURSELF,BELIEVE IN YOURSELF
BELIEVE IN YOURSELF,/inspirational-quotes/7962-trust-yourself-create-the-kind-of-self-that,https://quotes.values.com/quote_artwork/7962/medium/20190807_wednesday_quote.jpg?1564705590,BELIEVE IN YOURSELF,BELIEVE IN YOURSELF
BELIEVE IN YOURSELF,/inspirational-quotes/7961-talk-to-yourself-like-you-would-to-someone-you,https://quotes.values.com/quote_artwork/7961/medium/20190806_tuesday_quote.jpg?1564705566,BELIEVE IN YOURSELF,BELIEVE IN YOURSELF
BELIEVE IN YOURSELF,/inspirational-quotes/7960-when-i-was-a-child-my-mother-said-to-me-if,https://quotes.values.com/quote_artwork/7960/medium/20190805_monday_quote.jpg?1564705539,BELIEVE IN YOURSELF,BELIEVE IN YOURSELF
DRIVE,/inspirational-quotes/7959-the-most-difficult-thing-is-the-decision-to,https://quotes.values.com/quote_artwork/7959/medium/20190802_friday_quote.jpg?1562888575,DRIVE,DRIVE
DRIVE,/inspirational-quotes/7958-trying-is-winning-in-the-moment,https://quotes.values.com/quote_artwork/7958/medium/20190801_thursday_quote.jpg?1562888544,DRIVE,DRIVE
